plot,species,count
1,DO,3
1,OT,2
1,PB,11
1,PE,1
1,PP,6
2,DM,2
2,DO,1
2,OT,2
2,PB,11
2,PE,2
2,PF,1
2,PP,6
4,DO,4
4,OT,1
4,PB,10
4,PP,15
4,SS,1
8,DO,5
8,OT,3
8,PB,11
8,PP,10
9,DM,2
9,OT,1
9,PB,11
9,PP,7
9,SF,1
11,DM,7
11,PB,9
11,PF,1
11,PP,9
12,DM,1
12,DO,3
12,OT,2
12,PB,5
12,PP,16
12,RM,1
12,SF,1
14,DM,7
14,DO,2
14,OT,1
14,PB,7
14,PP,9
17,DM,1
17,DO,2
17,PB,8
17,PP,16
17,SH,1
22,DM,1
22,OL,1
22,OT,1
22,PB,10
22,PL,1
22,PP,2
22,SH,1
